symbol,fold,method,y,p
AAPL,0,platt,1,0.7306317579188323
AAPL,0,platt,0,0.703409249430227
AAPL,0,platt,1,0.736137208473695
AAPL,0,platt,1,0.7297502803854642
AAPL,0,platt,1,0.7324326917526024
AAPL,0,platt,1,0.7175754671446575
AAPL,0,platt,1,0.7141245178507047
AAPL,0,platt,1,0.666429919472328
AAPL,0,platt,1,0.7306546095686044
AAPL,0,platt,1,0.7350936521760133
AAPL,0,platt,1,0.7579839021620127
AAPL,0,platt,1,0.7186580431108562
AAPL,0,platt,1,0.7424975298771429
AAPL,0,platt,1,0.7176449744742972
AAPL,0,platt,1,0.7711981584113149
AAPL,0,platt,1,0.7548973201315619
AAPL,0,platt,1,0.7359226865713906
AAPL,0,platt,1,0.777548414244947
AAPL,0,platt,0,0.7280051290608439
AAPL,0,platt,0,0.7672738761697055
AAPL,0,platt,0,0.7979137335057451
AAPL,0,platt,0,0.7758440048819035
AAPL,0,platt,0,0.7037284481252979
AAPL,0,platt,0,0.6460330966747475
AAPL,0,platt,0,0.675935733569007
AAPL,0,platt,1,0.5994778384003893
AAPL,0,platt,0,0.6815338513965944
AAPL,0,platt,0,0.6537548991205271
AAPL,0,platt,0,0.6322135068941898
AAPL,0,platt,0,0.6148251896460601
AAPL,0,platt,0,0.7241191266726438
AAPL,0,platt,0,0.6098813259620424
AAPL,0,platt,0,0.6076610630308111
AAPL,0,platt,1,0.6371367913826439
AAPL,0,platt,1,0.6714739236172425
AAPL,0,platt,1,0.7785849645858379
AAPL,0,platt,1,0.727411349102079
AAPL,0,platt,1,0.656088524864484
AAPL,0,platt,1,0.7338786891654288
AAPL,0,platt,1,0.7279533562646432
AAPL,0,platt,0,0.7598718197760974
AAPL,0,platt,0,0.7713750325230236
AAPL,0,platt,0,0.7626155904021592
AAPL,0,platt,1,0.7447392181683454
AAPL,0,platt,1,0.7048227637876457
AAPL,0,platt,1,0.6534196852096864
AAPL,0,platt,1,0.6748571712970942
AAPL,0,platt,1,0.7022959313169607
AAPL,0,platt,1,0.7558727133416299
AAPL,0,platt,0,0.7017356142558749
AAPL,0,platt,0,0.6497590924343927
AAPL,0,platt,0,0.6721371626804135
AAPL,0,platt,0,0.7434287698441958
AAPL,0,platt,0,0.6781002236485265
AAPL,0,platt,0,0.6571191420660203
AAPL,0,platt,0,0.6894084443265323
AAPL,0,platt,0,0.70528203000519
AAPL,0,platt,0,0.7201846044019263
AAPL,0,platt,0,0.7022062816503366
AAPL,0,platt,0,0.664577895040781
AAPL,0,platt,0,0.7283759820383839
AAPL,0,platt,1,0.6907478038131944
AAPL,0,platt,1,0.6600762104649935
AAPL,0,platt,1,0.6206359091344699
AAPL,0,platt,1,0.6563198589843964
AAPL,0,platt,1,0.7291449857421196
AAPL,0,platt,1,0.6759718850634316
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,0,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
AAPL,0,isotonic,1,0.675
