symbol,fold,hyperparam_kind,n_estimators,max_depth,min_samples_leaf,rmse,mae,r2,train_seconds,predict_seconds,n_train,n_test
AAPL,11,max_depth,500,12,10,0.006675050697043182,0.006082360589686018,-1.6534438558622129,0.2125,0.0262,1893,126
AAPL,11,max_depth,500,15,10,0.00658182697186432,0.005990183498732786,-1.5798454398216828,0.2369,0.0252,1893,126
AAPL,11,max_depth,500,None,10,0.006637266956706273,0.006044332635099037,-1.623489541325533,0.2226,0.0254,1893,126
AAPL,11,min_samples_leaf,500,12,5,0.007310309668402807,0.006670770958747267,-2.182528594179679,0.2551,0.0227,1893,126
AAPL,11,min_samples_leaf,500,12,10,0.006675050697043182,0.006082360589686018,-1.6534438558622133,0.217,0.0269,1893,126
AAPL,11,min_samples_leaf,500,12,20,0.006024816008083739,0.0054327895077373985,-1.161664761084038,0.1902,0.0246,1893,126
AAPL,11,min_samples_leaf,500,12,50,0.005357184881021774,0.004726923001558654,-0.7091258185823877,0.1717,0.0262,1893,126
AAPL,12,n_estimators,100,12,10,0.007499479627055394,0.006820442017883827,-3.0231997261809047,0.0515,0.0137,1956,126
AAPL,12,n_estimators,250,12,10,0.007264605357667719,0.006620793044774069,-2.775142825987253,0.1135,0.025,1956,126
AAPL,12,n_estimators,500,12,10,0.007280195061516801,0.006659386430439865,-2.7913629796870585,0.2073,0.0263,1956,126
AAPL,12,n_estimators,1000,12,10,0.007055789627770091,0.00643286233501161,-2.5612345728303736,0.4215,0.0521,1956,126
AAPL,12,max_depth,500,6,10,0.006294185477152786,0.005707007953178462,-1.8339253550622678,0.171,0.0246,1956,126
AAPL,12,max_depth,500,9,10,0.0068898929225500736,0.006278479332601268,-2.3957388136186757,0.1965,0.0264,1956,126
AAPL,12,max_depth,500,12,10,0.0072801950615168,0.006659386430439865,-2.791362979687058,0.2128,0.0268,1956,126
AAPL,12,max_depth,500,15,10,0.006846760638765995,0.0062294525481354085,-2.3533557122260147,0.2222,0.0251,1956,126
AAPL,12,max_depth,500,None,10,0.006827304575132783,0.006207760887586246,-2.3343246969213025,0.2312,0.0266,1956,126
AAPL,12,min_samples_leaf,500,12,5,0.008529047440688456,0.007834349715412138,-4.203677748203992,0.2521,0.0235,1956,126
AAPL,12,min_samples_leaf,500,12,10,0.007280195061516802,0.006659386430439867,-2.7913629796870594,0.2231,0.0258,1956,126
AAPL,12,min_samples_leaf,500,12,20,0.006158996105261251,0.005522540739662096,-1.7134960432343385,0.1908,0.0271,1956,126
AAPL,12,min_samples_leaf,500,12,50,0.005345240354725769,0.004735148958366651,-1.0438254877477124,0.1799,0.0262,1956,126
AAPL,13,n_estimators,100,12,10,0.006707043243649103,0.0058888774186413055,-1.9245204228756227,0.0488,0.0137,2019,126
AAPL,13,n_estimators,250,12,10,0.006599510893637948,0.00578266713444729,-1.8314959564189364,0.1192,0.0138,2019,126
AAPL,13,n_estimators,500,12,10,0.006543292090671575,0.005746533997747321,-1.7834604871800455,0.2287,0.0265,2019,126
AAPL,13,n_estimators,1000,12,10,0.006477095335608378,0.005687557384953154,-1.7274263029527832,0.4358,0.0512,2019,126
AAPL,13,max_depth,500,6,10,0.005827837476357846,0.005056469770861463,-1.2080418951348575,0.1742,0.0246,2019,126
AAPL,13,max_depth,500,9,10,0.006445858141760789,0.005653482537430191,-1.7011825319737377,0.1909,0.0266,2019,126
