symbol,fold,method,ece,brier,log_loss,auc,n_test
^GSPC,9,no_cal,0.3760552148012924,0.399041244064902,1.2495806493359776,0.4852459016393442,126
^GSPC,9,platt,0.017414638506691022,0.2503898337073056,0.6939272690894546,0.4852459016393442,126
^GSPC,9,isotonic,0.10214587915396044,0.26792520635980926,1.161959660108594,0.4880201765447667,126
^GSPC,10,no_cal,0.483529646825455,0.48606622998745347,1.696705578187594,0.4444444444444444,126
^GSPC,10,platt,0.1361505839899951,0.2630485816686366,0.7193948701193352,0.4444444444444444,126
^GSPC,10,isotonic,0.19685853218490343,0.28683312221923674,0.7656713266216015,0.4449529621154335,126
^GSPC,11,no_cal,0.2815517785889657,0.3211482749335834,0.902242959702407,0.5728947368421052,126
^GSPC,11,platt,0.1311065641032728,0.2551646793026283,0.7034881369108567,0.5728947368421052,126
^GSPC,11,isotonic,0.2582369287228336,0.32905270387217844,2.707163884973749,0.5676315789473684,126
^GSPC,12,no_cal,0.4700079979672076,0.47830190666526734,1.5217589652515555,0.48022744895321784,126
^GSPC,12,platt,0.054613138402625994,0.24830600477123324,0.6898861976869256,0.48022744895321784,126
^GSPC,12,isotonic,0.11672361906997987,0.26205754934802183,0.829738242621317,0.49069527009563196,126
^GSPC,13,no_cal,0.3846133703253996,0.41058410767242004,1.1211907620511479,0.3689986282578875,126
^GSPC,13,platt,0.1389548769527981,0.2371704418307924,0.6675792506311803,0.3689986282578875,126
^GSPC,13,isotonic,0.23605754050885988,0.2873950209172642,0.8990346916143971,0.4138545953360768,126
^GSPC,14,no_cal,0.671877408329268,0.6385041059993637,2.284444208520386,0.5269949066213923,126
^GSPC,14,platt,0.1907315479502294,0.22155997236396494,0.63591693073745,0.5269949066213923,126
^GSPC,14,isotonic,0.2796248538094533,0.2805865200649575,0.7644746167155324,0.5073005093378607,126
^GSPC,15,no_cal,0.5328161305559784,0.521092820135744,1.6341955470778144,0.46657608695652175,126
^GSPC,15,platt,0.12771367312200255,0.24666686071151195,0.6960391468923368,0.5334239130434784,126
^GSPC,15,isotonic,0.053548602305988804,0.2570308138179,1.2562752527497671,0.4953804347826086,126
^GSPC,16,no_cal,0.5445291810067198,0.5389871399131796,1.8064395546627228,0.41506410256410264,126
^GSPC,16,platt,0.14157261978595112,0.25445054362893677,0.7103400802624514,0.41506410256410264,126
^GSPC,16,isotonic,0.12685999283227484,0.25199899584445173,0.7055055773281658,0.42935363247863245,126
^GSPC,17,no_cal,0.3093805311930128,0.3453211354574828,0.9377579226092833,0.391578947368421,126
^GSPC,17,platt,0.15341418919341088,0.2506615005877436,0.7017855957712683,0.608421052631579,126
^GSPC,17,isotonic,0.03174603174603141,0.2403628117913831,0.6738525890175908,0.5,126
^GSPC,18,no_cal,0.28360073057189555,0.3478980650763724,0.9612727672042469,0.44801416645585634,126
^GSPC,18,platt,0.0949040256214982,0.2556713819368097,0.7053190329631583,0.5519858335441437,126
^GSPC,18,isotonic,0.08204689138300916,0.25713459590330395,0.7080497083830387,0.48469516822666325,126
^GSPC,19,no_cal,0.3880562654465136,0.39487331308844703,1.099721402441544,0.5053418803418803,126
^GSPC,19,platt,0.08100675913985421,0.24537375182394225,0.6837318470257062,0.4946581196581196,126
^GSPC,19,isotonic,0.03378429369846919,0.250550844246112,1.0206709743217977,0.5050747863247863,126
^GSPC,20,no_cal,0.3290727216282627,0.31572329111240605,0.8523022916960218,0.6392572944297082,126
