symbol,scenario,n_features,fold,split,n_rows,mae,rmse,r2
TSLA,PRICE_ONLY,5,6,test,121,0.012061664205434813,0.015162596648244216,-0.4926813466403468
TSLA,PRICE+TECH,30,6,test,121,0.00960915532733578,0.012268388305657974,0.022774101619322473
TSLA,PRICE+TECH+LAG,35,6,test,121,0.009450940326293959,0.012152631438962651,0.04112809196642486
TSLA,ALL_NO_MACRO,43,6,test,121,0.009151335478430252,0.011768429269545402,0.1007986621060234
TSLA,ALL_NO_REGIME,48,6,test,121,0.00898375206398545,0.011524479497544362,0.13769167160036955
TSLA,ALL_FULL,56,6,test,121,0.00876570339480614,0.011331613158983565,0.16631224729028304
TSLA,PRICE_ONLY,5,7,test,121,0.01289992008236958,0.015696817449163937,-0.25777267651981917
TSLA,PRICE+TECH,30,7,test,121,0.009902846526375814,0.01214401996169733,0.24715792027628525
TSLA,PRICE+TECH+LAG,35,7,test,121,0.009750722480582305,0.012054877487475904,0.25816974282089955
TSLA,ALL_NO_MACRO,43,7,test,121,0.00975530990229118,0.012157642520674153,0.24546797118278818
TSLA,ALL_NO_REGIME,48,7,test,121,0.010169788189433994,0.01265177000038237,0.1828881341041283
TSLA,ALL_FULL,56,7,test,121,0.010241274158743317,0.012590195628729322,0.19082231504900704
TSLA,PRICE_ONLY,5,8,test,121,0.012186725179466703,0.01526777825980212,0.013854444776823738
TSLA,PRICE+TECH,30,8,test,121,0.011484951949429816,0.014827939521782544,0.06985437887810686
TSLA,PRICE+TECH+LAG,35,8,test,121,0.011391451464420927,0.014651514835196264,0.09185668127179869
TSLA,ALL_NO_MACRO,43,8,test,121,0.011610594279769106,0.014490600978467856,0.1116949540519312
TSLA,ALL_NO_REGIME,48,8,test,121,0.011863165435392144,0.014480288194818055,0.11295889581914997
TSLA,ALL_FULL,56,8,test,121,0.012121378396852957,0.014920444513061732,0.05821263930852716
TSLA,PRICE_ONLY,5,9,test,121,0.012086961499102326,0.015284018959669717,-0.14567630141458587
TSLA,PRICE+TECH,30,9,test,121,0.011761031691856041,0.01568787306245768,-0.2070212815227277
TSLA,PRICE+TECH+LAG,35,9,test,121,0.011734336841634916,0.01570371761253951,-0.20946066472323066
TSLA,ALL_NO_MACRO,43,9,test,121,0.011406121772718922,0.01504475345571049,-0.11008681545845156
TSLA,ALL_NO_REGIME,48,9,test,121,0.01106676403041181,0.01421955335861908,0.008349341263828802
TSLA,ALL_FULL,56,9,test,121,0.01129180360567394,0.014479091680586881,-0.028180659331247693
TSLA,PRICE_ONLY,5,10,test,121,0.011139446572625882,0.013388028144194387,-0.5053330610584166
TSLA,PRICE+TECH,30,10,test,121,0.009408514971555848,0.011701511403099574,-0.1499614638137703
TSLA,PRICE+TECH+LAG,35,10,test,121,0.009483242931172576,0.011829761378058789,-0.17530703447962126
TSLA,ALL_NO_MACRO,43,10,test,121,0.010396917626681013,0.012879426283735779,-0.3931324302446484
TSLA,ALL_NO_REGIME,48,10,test,121,0.010073778973218882,0.012218851894559615,-0.2538921056480783
TSLA,ALL_FULL,56,10,test,121,0.01064601546618227,0.012924651215393372,-0.4029333226942766
TSLA,PRICE_ONLY,5,11,test,121,0.01199625664668286,0.0139989229562801,-0.6306720466727542
TSLA,PRICE+TECH,30,11,test,121,0.010505589579948052,0.012244801685626736,-0.24761587233363658
TSLA,PRICE+TECH+LAG,35,11,test,121,0.01040106227054558,0.012145955484883219,-0.2275544073720619
TSLA,ALL_NO_MACRO,43,11,test,121,0.010486358568255026,0.012134176418932406,-0.2251746138671873
TSLA,ALL_NO_REGIME,48,11,test,121,0.010360040349257011,0.011959258993335794,-0.19010676018948058
TSLA,ALL_FULL,56,11,test,121,0.010454217641825308,0.012108763226630964,-0.2200481029945769
TSLA,PRICE_ONLY,5,12,test,121,0.0127477439225408,0.014503323585307145,-0.6190980391107188
TSLA,PRICE+TECH,30,12,test,121,0.009985570078547078,0.012212169876861103,-0.1479520482198209
TSLA,PRICE+TECH+LAG,35,12,test,121,0.010073362748137029,0.012251173924680607,-0.15529657083599857
TSLA,ALL_NO_MACRO,43,12,test,121,0.010026867237360406,0.011884381548031089,-0.08715444586052112
TSLA,ALL_NO_REGIME,48,12,test,121,0.010337833343857367,0.012186919151212361,-0.14320978617323754
